poblacion,provincia
Abla,Andalucía
Abrucena,Andalucía
Adamuz,Andalucía
Adra,Andalucía
Agrón,Andalucía
Aguadulce,Andalucía
Aguilar de la Frontera,Andalucía
Alameda,Andalucía
Alamedilla,Andalucía
Alanís,Andalucía
Albaida del Aljarafe,Andalucía
Albanchez de Mágina,Andalucía
Alboloduy,Andalucía
Albolote,Andalucía
Albondón,Andalucía
Albox,Andalucía
Albuñol,Andalucía
Albuñuelas,Andalucía
Albuñán,Andalucía
Albánchez,Andalucía
Alcalá de Guadaíra,Andalucía
Alcalá de los Gazules,Andalucía
Alcalá del Río,Andalucía
Alcalá del Valle,Andalucía
Alcalá la Real,Andalucía
Alcaracejos,Andalucía
Alcaucín,Andalucía
Alcaudete,Andalucía
Alcolea,Andalucía
Alcolea del Río,Andalucía
Alcudia de Monteagud,Andalucía
Alcóntar,Andalucía
Aldeaquemada,Andalucía
Aldeire,Andalucía
Alfacar,Andalucía
Alfarnate,Andalucía
Alfarnatejo,Andalucía
Algaba (La),Andalucía
Algar,Andalucía
Algarinejo,Andalucía
Algarrobo,Andalucía
Algatocín,Andalucía
Algeciras,Andalucía
Algodonales,Andalucía
Algámitas,Andalucía
Alhabia,Andalucía
Alhama de Almería,Andalucía
Alhama de Granada,Andalucía
Alhaurín de la Torre,Andalucía
Alhaurín el Grande,Andalucía
Alhendín,Andalucía
Alicún,Andalucía
Alicún de Ortega,Andalucía
Aljaraque,Andalucía
Almadén de la Plata,Andalucía
Almargen,Andalucía
Almedinilla,Andalucía
Almegíjar,Andalucía
Almendro (El),Andalucía
Almensilla,Andalucía
Almería,Andalucía
Almodóvar del Río,Andalucía
Almogía,Andalucía
Almonaster la Real,Andalucía
Almonte,Andalucía
Almuñécar,Andalucía
Almáchar,Andalucía
Almócita,Andalucía
Alosno,Andalucía
Alozaina,Andalucía
Alpandeire,Andalucía
Alpujarra de la Sierra,Andalucía
Alquife,Andalucía
Alsodux,Andalucía
Alájar,Andalucía
Andújar,Andalucía
Antas,Andalucía
Antequera,Andalucía
Aracena,Andalucía
Arahal,Andalucía
Arboleas,Andalucía
Archidona,Andalucía
Arcos de la Frontera,Andalucía
Ardales,Andalucía
Arenas,Andalucía
Arenas del Rey,Andalucía
Arjona,Andalucía
Arjonilla,Andalucía
Armilla,Andalucía
Armuña de Almanzora,Andalucía
Aroche,Andalucía
Arquillos,Andalucía
Arriate,Andalucía
Arroyo del Ojanco,Andalucía
Arroyomolinos de León,Andalucía
Atajate,Andalucía
Atarfe,Andalucía
Ayamonte,Andalucía
Aznalcázar,Andalucía
Aznalcóllar,Andalucía
Añora,Andalucía
Bacares,Andalucía
Badolatosa,Andalucía
Baena,Andalucía
Baeza,Andalucía
Bailén,Andalucía
Barbate,Andalucía
Barrios (Los),Andalucía
Bayarque,Andalucía
Bayárcal,Andalucía
Baza,Andalucía
Baños de la Encina,Andalucía
Beas,Andalucía
Beas de Granada,Andalucía
Beas de Guadix,Andalucía
Beas de Segura,Andalucía
Bedmar y Garcíez,Andalucía
Begíjar,Andalucía
Beires,Andalucía
Belalcázar,Andalucía
Belmez,Andalucía
Benacazón,Andalucía
Benadalid,Andalucía
Benahadux,Andalucía
Benahavís,Andalucía
Benalauría,Andalucía
Benalmádena,Andalucía
Benalup-Casas Viejas,Andalucía
Benalúa,Andalucía
Benalúa de las Villas,Andalucía
Benamargosa,Andalucía
Benamaurel,Andalucía
Benamejí,Andalucía
Benamocarra,Andalucía
Benaocaz,Andalucía
Benaoján,Andalucía
Benarrabá,Andalucía
Benatae,Andalucía
Benitagla,Andalucía
Benizalón,Andalucía
Bentarique,Andalucía
Berja,Andalucía
Berrocal,Andalucía
Blázquez (Los),Andalucía
Bollullos de la Mitación,Andalucía
Bollullos Par del Condado,Andalucía
Bonares,Andalucía
Borge (El),Andalucía
Bormujos,Andalucía
Bornos,Andalucía
Bosque (El),Andalucía
Brenes,Andalucía
Bubión,Andalucía
Bujalance,Andalucía
Burgo (El),Andalucía
Burguillos,Andalucía
Busquístar,Andalucía
Bédar,Andalucía
Bélmez de la Moraleda,Andalucía
Bérchules,Andalucía
Cabezas de San Juan (Las),Andalucía
Cabezas Rubias,Andalucía
Cabra,Andalucía
Cabra del Santo Cristo,Andalucía
Cacín,Andalucía
Cala,Andalucía
Calahorra (La),Andalucía
Calañas,Andalucía
Calicasas,Andalucía
Camas,Andalucía
Cambil,Andalucía
Campana (La),Andalucía
Campillo (El),Andalucía
Campillo de Arenas,Andalucía
Campillos,Andalucía
Campofrío,Andalucía
Campotéjar,Andalucía
Canena,Andalucía
Caniles,Andalucía
Canillas de Aceituno,Andalucía
Canillas de Albaida,Andalucía
Canjáyar,Andalucía
Cantillana,Andalucía
Cantoria,Andalucía
Capileira,Andalucía
Carataunas,Andalucía
Carboneras,Andalucía
Carboneros,Andalucía
Carcabuey,Andalucía
Cardeña,Andalucía
Carlota (La),Andalucía
Carmona,Andalucía
Carolina (La),Andalucía
Carpio (El),Andalucía
Carratraca,Andalucía
Carrión de los Céspedes,Andalucía
Cartajima,Andalucía
Cartaya,Andalucía
Casabermeja,Andalucía
Casarabonela,Andalucía
Casares,Andalucía
Casariche,Andalucía
Castaño del Robledo,Andalucía
Castellar,Andalucía
Castellar de la Frontera,Andalucía
Castilblanco de los Arroyos,Andalucía
Castilleja de Guzmán,Andalucía
Castilleja de la Cuesta,Andalucía
Castilleja del Campo,Andalucía
Castillo de las Guardas (El),Andalucía
Castillo de Locubín,Andalucía
Castilléjar,Andalucía
Castril,Andalucía
Castro de Filabres,Andalucía
Castro del Río,Andalucía
Cazalilla,Andalucía
Cazalla de la Sierra,Andalucía
Cazorla,Andalucía
Cañada Rosal,Andalucía
Cañaveral de León,Andalucía
Cañete de las Torres,Andalucía
Cañete la Real,Andalucía
Cenes de la Vega,Andalucía
Cerro de Andévalo (El),Andalucía
Chauchina,Andalucía
Chercos,Andalucía
Chiclana de la Frontera,Andalucía
Chiclana de Segura,Andalucía
Chilluévar,Andalucía
Chimeneas,Andalucía
Chipiona,Andalucía
Chirivel,Andalucía
Chucena,Andalucía
Churriana de la Vega,Andalucía
Cijuela,Andalucía
Cogollos de Guadix,Andalucía
Cogollos de la Vega,Andalucía
Colmenar,Andalucía
Colomera,Andalucía
Comares,Andalucía
Conil de la Frontera,Andalucía
Conquista,Andalucía
Constantina,Andalucía
Coria del Río,Andalucía
Coripe,Andalucía
Coronil (El),Andalucía
Corrales (Los),Andalucía
Corteconcepción,Andalucía
Cortegana,Andalucía
Cortelazor,Andalucía
Cortes de Baza,Andalucía
Cortes de la Frontera,Andalucía
Cortes y Graena,Andalucía
Coín,Andalucía
Cuervo de Sevilla (El),Andalucía
Cuevas Bajas,Andalucía
Cuevas de San Marcos,Andalucía
Cuevas del Almanzora,Andalucía
Cuevas del Becerro,Andalucía
Cuevas del Campo,Andalucía
Cumbres de Enmedio,Andalucía
Cumbres de San Bartolomé,Andalucía
Cumbres Mayores,Andalucía
Cádiar,Andalucía
Cádiz,Andalucía
Cájar,Andalucía
Cárcheles,Andalucía
Cártama,Andalucía
Cástaras,Andalucía
Cáñar,Andalucía
Cóbdar,Andalucía
Cómpeta,Andalucía
Córdoba,Andalucía
Cúllar,Andalucía
Cúllar Vega,Andalucía
Cútar,Andalucía
Dalías,Andalucía
Darro,Andalucía
Dehesas de Guadix,Andalucía
Deifontes,Andalucía
Diezma,Andalucía
Dos Hermanas,Andalucía
Dos Torres,Andalucía
Doña Mencía,Andalucía
Dílar,Andalucía
Dólar,Andalucía
Dúdar,Andalucía
Dúrcal,Andalucía
Ejido (El),Andalucía
Encinas Reales,Andalucía
Encinasola,Andalucía
Enix,Andalucía
Escacena del Campo,Andalucía
Escañuela,Andalucía
Escúzar,Andalucía
Espartinas,Andalucía
Espejo,Andalucía
Espelúy,Andalucía
Espera,Andalucía
Espiel,Andalucía
Estepa,Andalucía
Estepona,Andalucía
Faraján,Andalucía
Felix,Andalucía
Fernán-Núñez,Andalucía
Ferreira,Andalucía
Fines,Andalucía
Fiñana,Andalucía
Fondón,Andalucía
Fonelas,Andalucía
Frailes,Andalucía
Freila,Andalucía
Frigiliana,Andalucía
Fuengirola,Andalucía
Fuensanta de Martos,Andalucía
Fuente de Piedra,Andalucía
Fuente la Lancha,Andalucía
Fuente Obejuna,Andalucía
Fuente Palmera,Andalucía
Fuente Vaqueros,Andalucía
Fuente-Tójar,Andalucía
Fuenteheridos,Andalucía
Fuentes de Andalucía,Andalucía
Fuerte del Rey,Andalucía
Gabias (Las),Andalucía
Galaroza,Andalucía
Galera,Andalucía
Gallardos (Los),Andalucía
Garrobo (El),Andalucía
Garrucha,Andalucía
Gastor (El),Andalucía
Gaucín,Andalucía
Gelves,Andalucía
Genalguacil,Andalucía
Gerena,Andalucía
Gibraleón,Andalucía
Gilena,Andalucía
Gines,Andalucía
Gobernador,Andalucía
Gor,Andalucía
Gorafe,Andalucía
Granada,Andalucía
Granada de Río-Tinto (La),Andalucía
Granado (El),Andalucía
Granjuela (La),Andalucía
Grazalema,Andalucía
Guadahortuna,Andalucía
Guadalcanal,Andalucía
Guadalcázar,Andalucía
Guadix,Andalucía
Guajares (Los),Andalucía
Gualchos,Andalucía
Guardia de Jaén (La),Andalucía
Guaro,Andalucía
Guarromán,Andalucía
Guijo (El),Andalucía
Guillena,Andalucía
Gádor,Andalucía
Génave,Andalucía
Gérgal,Andalucía
Gójar,Andalucía
Güejar Sierra,Andalucía
Güevéjar,Andalucía
Herrera,Andalucía
Higuera de Calatrava,Andalucía
Higuera de la Sierra,Andalucía
Hinojales,Andalucía
Hinojares,Andalucía
Hinojos,Andalucía
Hinojosa del Duque,Andalucía
Hornachuelos,Andalucía
Hornos,Andalucía
Huelma,Andalucía
Huelva,Andalucía
Huesa,Andalucía
Humilladero,Andalucía
Huécija,Andalucía
Huélago,Andalucía
Huéneja,Andalucía
Huércal de Almería,Andalucía
Huércal-Overa,Andalucía
Huéscar,Andalucía
Huétor de Santillán,Andalucía
Huétor Tájar,Andalucía
Huétor Vega,Andalucía
Huévar del Aljarafe,Andalucía
Ibros,Andalucía
Igualeja,Andalucía
Illar,Andalucía
Illora,Andalucía
Instinción,Andalucía
Iruela (La),Andalucía
Isla Cristina,Andalucía
Isla Mayor,Andalucía
Istán,Andalucía
Itrabo,Andalucía
Iznalloz,Andalucía
Iznate,Andalucía
Iznatoraf,Andalucía
Iznájar,Andalucía
Jabalquinto,Andalucía
Jabugo,Andalucía
Jamilena,Andalucía
Jayena,Andalucía
Jaén,Andalucía
Jerez de la Frontera,Andalucía
Jerez del Marquesado,Andalucía
Jete,Andalucía
Jimena,Andalucía
Jimena de la Frontera,Andalucía
Jimera de Líbar,Andalucía
Jubrique,Andalucía
Jun,Andalucía
Juviles,Andalucía
Jódar,Andalucía
Júzcar,Andalucía
Lahiguera,Andalucía
Lanjarón,Andalucía
Lanteira,Andalucía
Lantejuela (La),Andalucía
Laroya,Andalucía
Larva,Andalucía
Lebrija,Andalucía
Lecrín,Andalucía
Lentegí,Andalucía
Lepe,Andalucía
Linares,Andalucía
Linares de la Sierra,Andalucía
Lobras,Andalucía
Loja,Andalucía
Lopera,Andalucía
Lora de Estepa,Andalucía
Lora del Río,Andalucía
Lubrín,Andalucía
Lucainena de las Torres,Andalucía
Lucena,Andalucía
Lucena del Puerto,Andalucía
Lugros,Andalucía
Luisiana (La),Andalucía
Lupión,Andalucía
Luque,Andalucía
Láchar,Andalucía
Láujar de Andarax,Andalucía
Líjar,Andalucía
Línea de la Concepción (La),Andalucía
Lúcar,Andalucía
Lújar,Andalucía
Macael,Andalucía
Macharaviaya,Andalucía
Madroño (El),Andalucía
Mairena del Alcor,Andalucía
Mairena del Aljarafe,Andalucía
Malahá (La),Andalucía
Mancha Real,Andalucía
Manilva,Andalucía
Manzanilla,Andalucía
Maracena,Andalucía
Marbella,Andalucía
Marchal,Andalucía
Marchena,Andalucía
Marinaleda,Andalucía
Marines (Los),Andalucía
Marmolejo,Andalucía
Martos,Andalucía
Martín de la Jara,Andalucía
María,Andalucía
Medina-Sidonia,Andalucía
Mengíbar,Andalucía
Mijas,Andalucía
Minas de Riotinto,Andalucía
Moclinejo,Andalucía
Moclín,Andalucía
Moguer,Andalucía
Mojonera (La),Andalucía
Mojácar,Andalucía
Molares (Los),Andalucía
Mollina,Andalucía
Molvízar,Andalucía
Monachil,Andalucía
Monda,Andalucía
Montalbán de Córdoba,Andalucía
Montefrío,Andalucía
Montejaque,Andalucía
Montejícar,Andalucía
Montellano,Andalucía
Montemayor,Andalucía
Montilla,Andalucía
Montillana,Andalucía
Montizón,Andalucía
Montoro,Andalucía
Monturque,Andalucía
Moraleda de Zafayona,Andalucía
Morelábor,Andalucía
Moriles,Andalucía
Morón de la Frontera,Andalucía
Motril,Andalucía
Murtas,Andalucía
Málaga,Andalucía
Nacimiento,Andalucía
Nava (La),Andalucía
Navas de la Concepción (Las),Andalucía
Navas de San Juan,Andalucía
Nerja,Andalucía
Nerva,Andalucía
Nevada,Andalucía
Niebla,Andalucía
Nigüelas,Andalucía
Noalejo,Andalucía
Nueva Carteya,Andalucía
Níjar,Andalucía
Nívar,Andalucía
Obejo,Andalucía
Ogíjares,Andalucía
Ohanes,Andalucía
Ojén,Andalucía
Olivares,Andalucía
Olula de Castro,Andalucía
Olula del Río,Andalucía
Olvera,Andalucía
Orce,Andalucía
Orcera,Andalucía
Oria,Andalucía
Osuna,Andalucía
Otura,Andalucía
Otívar,Andalucía
Padul,Andalucía
Padules,Andalucía
Palacios y Villafranca (Los),Andalucía
Palenciana,Andalucía
Palma del Condado (La),Andalucía
Palma del Río,Andalucía
Palomares del Río,Andalucía
Palos de la Frontera,Andalucía
Pampaneira,Andalucía
Paradas,Andalucía
Parauta,Andalucía
Partaloa,Andalucía
Paterna de Rivera,Andalucía
Paterna del Campo,Andalucía
Paterna del Río,Andalucía
Paymogo,Andalucía
Peal de Becerro,Andalucía
Pechina,Andalucía
Pedrera,Andalucía
Pedro Abad,Andalucía
Pedro Martínez,Andalucía
Pedroche,Andalucía
Pedroso (El),Andalucía
Pegalajar,Andalucía
Peligros,Andalucía
Periana,Andalucía
Peza (La),Andalucía
Peñaflor,Andalucía
Peñarroya-Pueblonuevo,Andalucía
Pilas,Andalucía
Pinar (El),Andalucía
Pinos Genil,Andalucía
Pinos Puente,Andalucía
Pizarra,Andalucía
Polopos,Andalucía
Polícar,Andalucía
Porcuna,Andalucía
Posadas,Andalucía
Pozo Alcón,Andalucía
Pozoblanco,Andalucía
Prado del Rey,Andalucía
Priego de Córdoba,Andalucía
Pruna,Andalucía
Puebla de Cazalla (La),Andalucía
Puebla de Don Fadrique,Andalucía
Puebla de Guzmán,Andalucía
Puebla de los Infantes (La),Andalucía
Puebla del Río (La),Andalucía
Puente de Génave,Andalucía
Puente Genil,Andalucía
Puerta de Segura (La),Andalucía
Puerto de Santa María (El),Andalucía
Puerto Moral,Andalucía
Puerto Real,Andalucía
Puerto Serrano,Andalucía
Pujerra,Andalucía
Pulianas,Andalucía
Pulpí,Andalucía
Punta Umbría,Andalucía
Purchena,Andalucía
Purullena,Andalucía
Píñar,Andalucía
Pórtugos,Andalucía
Quesada,Andalucía
Quéntar,Andalucía
Rambla (La),Andalucía
Real de la Jara (El),Andalucía
Rinconada (La),Andalucía
Rincón de la Victoria,Andalucía
Riogordo,Andalucía
Rioja,Andalucía
Rociana del Condado,Andalucía
Roda de Andalucía (La),Andalucía
Ronda,Andalucía
Ronquillo (El),Andalucía
Roquetas de Mar,Andalucía
Rosal de la Frontera,Andalucía
Rota,Andalucía
Rubio (El),Andalucía
Rubite,Andalucía
